,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
7,Butaritari,KI,79.29,overcast clouds,3.07,172.79,Isles Sunset Lodge
10,Poum,NC,75.49,light rain,-20.23,164.02,Gîte kajeon
22,Caravelas,BR,77.23,scattered clouds,-17.71,-39.25,Pousada dos Navegantes
23,Saint George,US,95.0,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
26,Teahupoo,PF,78.01,few clouds,-17.83,-149.27,Vanira Lodge
28,Puerto Ayora,EC,84.2,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
30,Tecoanapa,MX,84.74,few clouds,16.52,-98.75,Hotel Manglares
31,Yashan,CN,77.74,scattered clouds,22.2,109.94,
41,Bubaque,GW,79.68,overcast clouds,11.28,-15.83,Casa Dora
43,Palmer,US,75.99,scattered clouds,42.16,-72.33,Wedgewood Motel
47,Maumere,ID,77.95,clear sky,-8.62,122.21,Sylvia Hotel
48,Itoman,JP,80.6,scattered clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
55,Puerto Padre,CU,87.8,broken clouds,21.2,-76.6,Hotel Plaza
58,Malpe,IN,84.2,thunderstorm,13.35,74.72,Hotel Sri Krishna Residency
60,Emboscada,PY,86.0,scattered clouds,-25.15,-57.35,Quinta Delia Rosa
61,Albany,US,75.0,scattered clouds,42.6,-73.97,
73,Pagsangahan,PH,82.17,clear sky,13.22,122.54,
76,Remedios,CU,87.8,broken clouds,22.49,-79.55,Hostal Yunai
82,Arraial Do Cabo,BR,78.8,clear sky,-22.97,-42.03,Pousada Porto Praia
86,Naze,JP,75.2,overcast clouds,28.37,129.48,奄美ポートタワーホテル
88,Arinos,BR,76.66,few clouds,-15.92,-46.11,Hotel Dias
90,Pascagoula,US,89.6,scattered clouds,30.37,-88.56,Regency Inn
91,Seydi,TM,89.06,clear sky,39.48,62.91,
98,Hithadhoo,MV,84.58,broken clouds,-0.6,73.08,Scoop Guest House
105,Cabedelo,BR,84.2,scattered clouds,-6.98,-34.83,Lua Mansa Pousada
107,Karaton,ID,80.6,scattered clouds,-6.34,106.1,Parkir Mobil Wisata CAS Water Park
108,Atuona,PF,80.47,light rain,-9.8,-139.03,Villa Enata
109,Meulaboh,ID,78.91,light rain,4.14,96.13,Kost Pria
114,Belz,FR,78.8,scattered clouds,47.68,-3.17,L'Arbre Voyageur
115,Mandera,KE,86.0,overcast clouds,3.94,41.87,Kornesh Hotel and Lodging
118,Pekan,MY,78.8,few clouds,3.48,103.4,Pekan Budget Hotel
119,Victoria,HK,84.0,light rain,22.29,114.16,Mini Hotel Central
126,Bethel,US,77.0,few clouds,41.37,-73.41,Courtyard by Marriott Danbury
128,Ahuimanu,US,86.0,overcast clouds,21.44,-157.84,Paradise Bay Resort
130,Namibe,AO,75.74,few clouds,-15.2,12.15,Chik-Chik Namibe
131,Kendari,ID,76.1,light rain,-3.94,122.5,Hotel Wixel
132,Banda Aceh,ID,80.74,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
133,Lethem,GY,89.62,scattered clouds,3.38,-59.8,Savannah Inn
135,Phonhong,LA,75.87,broken clouds,18.5,102.42,Napakuang Resort
138,Yenagoa,NG,77.77,overcast clouds,4.92,6.26,Amba Hotels Limited
139,Georgetown,MY,80.6,scattered clouds,5.41,100.34,Cititel Penang
140,Vanimo,PG,78.89,light rain,-2.67,141.3,Vahmoneh Lodge Vanimo
142,Matay,EG,76.44,clear sky,28.42,30.78,Nag Aespen
150,Gwadar,PK,85.28,clear sky,25.12,62.33,Sadaf Resort
152,Quibdo,CO,77.0,light intensity drizzle,5.69,-76.66,Hotel Angeles
154,Kapaa,US,75.2,overcast clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
156,Witu,KE,78.26,few clouds,-2.39,40.44,
159,Burhar,IN,87.37,few clouds,23.22,81.53,REPL Camp
165,Muriti,TZ,75.99,few clouds,-1.98,32.92,
170,San Cristobal,VE,86.0,broken clouds,7.77,-72.22,Pirineos
171,Turan,VN,82.4,few clouds,16.07,108.22,Grand Mercure Danang
173,Namatanai,PG,79.56,broken clouds,-3.67,152.43,Namatanai Hotel
175,Haimen,CN,75.2,overcast clouds,23.19,116.61,Jinghao Business Hotel
184,Labuhan,ID,79.92,broken clouds,-6.88,112.21,bador sepret
185,Sao Gabriel Da Cachoeira,BR,86.04,light rain,-0.13,-67.09,Alarne - Área De Lazer Do Alto Rio Negro
190,Faanui,PF,80.8,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
191,Teknaf,BD,81.86,few clouds,20.86,92.31,Magnum Engineering & Construction
193,Kampot,KH,80.6,few clouds,10.62,104.18,Champa Lodge
195,Trat,TH,78.35,overcast clouds,12.5,102.5,สวนหนิง-อัศ
197,Touros,BR,82.4,broken clouds,-5.2,-35.46,INN NEW HORIZON
202,San Patricio,MX,80.6,scattered clouds,19.22,-104.7,Hotel Cabo Blanco
212,Waingapu,ID,76.44,clear sky,-9.66,120.26,Pondok Wisata Elim
213,Sabang,ID,84.06,overcast clouds,5.89,95.32,Hotel Citra
216,Itarema,BR,81.93,light rain,-2.92,-39.92,Windvillage
222,Bartica,GY,82.4,shower rain,6.4,-58.62,La Vista Hotel and Apartment
225,Natal,BR,84.2,broken clouds,-5.79,-35.21,Villa Park Hotel | Natal
226,Guapiacu,BR,75.52,clear sky,-20.8,-49.22,Chacara Rosa De Saron
233,Salalah,OM,77.0,moderate rain,17.02,54.09,HAMDAN PLAZA HOTEL
235,Tutoia,BR,80.65,light rain,-2.76,-42.27,Pousada Guará's
238,Bengkulu,ID,77.38,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
248,Jucuaran,SV,77.0,moderate rain,13.25,-88.25,Hostal Doña Consuelo
250,Alofi,NU,75.2,clear sky,-19.06,-169.92,Taloa Heights
252,Aransas Pass,US,87.01,broken clouds,27.91,-97.15,Microtel Inn & Suites by Wyndham Aransas Pass/Corpus Christi
253,Jensen Beach,US,90.0,broken clouds,27.25,-80.23,Courtyard by Marriott Hutchinson Island Oceanside/Jensen Beach
261,Kismayo,SO,80.6,overcast clouds,-0.36,42.55,Agan-Hotel
265,Rapar,IN,83.55,few clouds,23.57,70.63,Dharamshi Bapa’s Home
267,Korla,CN,77.27,overcast clouds,41.76,86.15,Gulisitan Hotel
269,Rio Grande,BR,80.6,broken clouds,-32.03,-52.1,Swan Express Rio Grande
270,Turayf,SA,82.4,clear sky,31.67,38.66,Swiss Spirit Hotel & Suites Turaif
272,Lubao,PH,82.4,broken clouds,14.92,120.55,
279,Kahului,US,78.8,scattered clouds,20.89,-156.47,Maui Seaside Hotel
281,Obera,AR,76.89,scattered clouds,-27.49,-55.12,CABAÑAS DORALIA
284,Vila Velha,BR,78.8,few clouds,-20.33,-40.29,Hotel Vitória Palace
286,Sabha,LY,88.5,scattered clouds,27.04,14.43,محطة ام الارانب -سبها مواصلات
290,Iquitos,PE,80.6,broken clouds,-3.75,-73.25,Cortez Malaga Techy Caroly
291,Havelock,US,79.0,light rain,34.88,-76.9,Holiday Inn Express and Suites Havelock
296,Miri,MY,78.8,broken clouds,4.41,114.01,"Mega Hotel, Miri"
300,Parsons,US,80.01,clear sky,37.34,-95.26,Parsons Inn
304,Luneville,FR,80.6,clear sky,48.6,6.5,Brit Hotel Nancy Lunéville
306,Santa Cruz Del Sur,CU,85.89,light rain,20.71,-78.0,
307,Mormugao,IN,84.97,overcast clouds,15.4,73.8,Hotel La-Paz Gardens
309,Claremore,US,80.01,clear sky,36.31,-95.62,Super 8 by Wyndham Claremore OK
312,Yakima,US,82.4,clear sky,46.47,-120.67,
313,Gualaco,HN,82.15,light rain,15.05,-86.05,Los encuentros
315,Sedalia,US,75.2,clear sky,38.7,-93.23,Best Western State Fair Inn
316,Xuddur,SO,78.76,overcast clouds,4.12,43.89,Banjanay Hotel
319,Lorengau,PG,81.55,scattered clouds,-2.02,147.27,Lorengau Harbourside Hotel
321,Presidente Epitacio,BR,78.24,clear sky,-21.76,-52.12,Hotel Itaverá
322,The Valley,AI,84.0,overcast clouds,18.22,-63.06,CeBlue Villas & Beach Resort
323,Waw,SS,80.47,light rain,7.7,28.0,Universal Gab Hotel
324,Vaitape,PF,81.64,light rain,-16.52,-151.75,Hotel Maitai Polynesia
325,Soyo,AO,77.13,broken clouds,-6.13,12.37,Hotel Mpampa
326,Kutum,SD,80.24,few clouds,14.2,24.67,Dibbo areaمنطقة دبو
327,Praia,CV,82.4,few clouds,14.92,-23.51,LT Aparthotel
328,Kieta,PG,79.41,overcast clouds,-6.22,155.63,
333,Nouakchott,MR,75.2,sand,18.09,-15.98,Hôtel Iman
334,Port Blair,IN,83.41,overcast clouds,11.67,92.75,Hotel Sentinel
342,Avera,US,86.0,broken clouds,33.19,-82.53,
344,Pathein,MM,83.95,overcast clouds,16.78,94.73,Pathein Hotel
348,Thinadhoo,MV,84.11,broken clouds,0.53,72.93,
349,San Antonio,US,84.0,few clouds,29.42,-98.49,Marriott Plaza San Antonio
356,Conde,BR,84.2,scattered clouds,-7.26,-34.91,Pousada Beija Flor
358,Sola,VU,81.25,broken clouds,-13.88,167.55,Leumerus Bungalows
359,Cayenne,GF,87.8,broken clouds,4.93,-52.33,Hôtel Le Dronmi
363,Les Cayes,HT,84.69,light rain,18.2,-73.75,Villa Orphee
365,Tanete,ID,76.3,light rain,-3.94,119.78,Wisma Tri Multi
366,Pangai,TO,79.3,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
375,Wenchi,GH,79.09,moderate rain,7.74,-2.1,Ebenezer Hotel
379,Jalu,LY,83.3,clear sky,29.03,21.55,Jalu Hotel
380,Russellville,US,81.0,clear sky,35.28,-93.13,Hampton Inn Russellville
382,Tual,ID,81.64,broken clouds,-5.67,132.75,Grand Vilia Hotel
388,Pundaguitan,PH,84.45,light rain,6.37,126.17,Leonardo Family Beach House 1
392,Narasannapeta,IN,82.87,overcast clouds,18.42,84.05,G.lingaraju home
394,Monrovia,LR,86.0,broken clouds,6.3,-10.8,Eco-Hotel Hall & Restaurant
395,Cockburn Town,TC,82.13,clear sky,21.46,-71.14,Osprey Beach Hotel
398,Ndele,CF,81.27,broken clouds,8.41,20.65,
401,Eydhafushi,MV,79.84,light rain,5.1,73.07,Soneva Fushi
402,Freeport,US,81.0,clear sky,40.66,-73.58,The Freeport Inn and Marinad
404,Lago Da Pedra,BR,84.18,broken clouds,-4.33,-45.17,
412,Ternate,ID,80.8,clear sky,0.8,127.4,Grand Dafam Bela Ternate
413,Sechura,PE,80.04,clear sky,-5.56,-80.82,Hospedaje Costa Bella
415,Farmington,US,82.4,clear sky,36.73,-108.22,Courtyard by Marriott Farmington
417,Fomboni,KM,80.89,clear sky,-12.28,43.74,Auberge les abou
418,Rock Sound,BS,79.05,clear sky,24.9,-76.2,Rock Sound Club
421,Point Pleasant,US,82.99,few clouds,40.08,-74.07,Point Pleasant Manor
422,Simbahan,PH,84.29,light rain,6.3,120.58,
424,Eenhana,,75.2,clear sky,-17.47,16.33,Hotel Litu
427,Yaan,NG,83.68,overcast clouds,7.38,8.57,
431,Quelimane,MZ,77.0,few clouds,-17.88,36.89,Hotel Flamingo
433,Sur,OM,91.04,broken clouds,22.57,59.53,Sur Plaza Hotel
435,Jacksonville,US,90.0,broken clouds,30.33,-81.66,Hyatt Regency Jacksonville Riverfront
437,Dingle,PH,78.12,clear sky,11.0,122.67,Camp Pasica
441,Westport,US,79.0,scattered clouds,41.14,-73.36,The Westport Inn
442,Vitoria,BR,78.8,few clouds,-20.32,-40.34,Hotel Prata
444,Unai,BR,75.07,clear sky,-16.36,-46.91,Hotel Regente
445,Cachoeiro De Itapemirim,BR,76.57,clear sky,-20.85,-41.11,Bristol Easy Hotel - Cachoeiro
447,Agadez,NE,91.15,clear sky,19.75,10.25,
452,Lewiston,US,80.01,scattered clouds,44.1,-70.21,Hilton Garden Inn Auburn Riverwatch
454,Berbera,SO,91.53,overcast clouds,10.44,45.01,Damal Hotel
455,Wanning,CN,81.75,overcast clouds,18.8,110.4,Paradise Hotel
462,Wamba,NG,81.54,light rain,8.93,8.6,Roma Zee Guest House Annex
464,Kericho,KE,75.2,scattered clouds,-0.37,35.28,Hills Country Lodge
466,Bathsheba,BB,87.8,few clouds,13.22,-59.52,Atlantis Hotel
468,Ilebo,CD,75.67,broken clouds,-4.32,20.58,Hôtel des palmes
475,Kannur,IN,77.0,thunderstorm with light rain,11.87,75.36,Asokam Beach Resort
476,Piedras Negras,MX,86.0,broken clouds,28.7,-100.52,Holiday Inn Express & Suites Eagle Pass
477,Kavaratti,IN,84.02,overcast clouds,10.57,72.64,Bismillah Hotel And Lodging
479,Gamba,GA,76.3,overcast clouds,-2.65,10.0,
481,Muisne,EC,84.2,broken clouds,0.6,-80.03,Quinta Samay
486,Ipixuna,BR,78.8,thunderstorm with rain,-1.76,-48.8,Casa da Oscarina
491,Manavalakurichi,IN,82.4,mist,8.13,77.3,Udaya Boys Hostel
493,Virginia Beach,US,82.99,broken clouds,36.85,-75.98,Hilton Virginia Beach Oceanfront
494,Carutapera,BR,80.55,light rain,-1.2,-46.02,Lidera
495,Chingirlau,KZ,77.65,overcast clouds,51.09,54.08,
498,Ugoofaaru,MV,79.79,light rain,5.67,73.0,Ungoofaaru Inn
499,Santa Rosa,PH,84.0,scattered clouds,14.31,121.11,Hungry Soles Studios
500,Agadir,MA,75.2,overcast clouds,30.42,-9.6,Iberostar Founty Beach
501,Puerto Maldonado,PE,84.2,scattered clouds,-12.6,-69.18,Wasai Hotel
502,Pehowa,IN,82.71,light rain,29.98,76.58,Hotel Kwality
506,Bridgetown,BB,87.8,few clouds,13.1,-59.62,Hilton Barbados Resort
507,Hambantota,LK,81.19,few clouds,6.12,81.12,Bungalow 63
508,Sinnamary,GF,83.19,scattered clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
509,Alenquer,BR,86.0,few clouds,-1.94,-54.74,Detinha Hotel
511,Cabo San Lucas,MX,87.01,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
512,Kalmunai,LK,82.15,few clouds,7.42,81.82,VS Villa
513,Kaka,TM,82.89,clear sky,37.35,59.61,
514,Grand-Lahou,CI,80.89,overcast clouds,5.14,-5.02,Hotel Beatitude de Grand Lahou
515,Puerto Colombia,CO,82.4,overcast clouds,10.99,-74.95,Hotel El Emigrante
518,Renigunta,IN,87.94,overcast clouds,13.65,79.52,Appanna Rest House
519,Alta Floresta,BR,84.74,broken clouds,-9.88,-56.09,Floresta Amazonica Hotel
525,Nishihara,JP,80.6,broken clouds,26.18,127.76,Minshuku Agaihama
526,Ranong,TH,81.48,broken clouds,9.97,98.63,Tinidee Hotel@Ranong
528,Tiarei,PF,78.01,few clouds,-17.53,-149.33,Le Rocher de Tahiti
530,Abha,SA,77.0,clear sky,18.22,42.51,Abha Hotel
534,Pachmarhi,IN,80.64,few clouds,22.47,78.43,TBT Budget Stays
542,Walvis Bay,,75.2,clear sky,-22.96,14.51,Oyster Box Guesthouse
545,Port-Gentil,GA,80.6,broken clouds,-0.72,8.78,Fengshui Residence
546,Acari,PE,79.38,clear sky,-15.43,-74.62,Hospedaje Ximens
549,Asyut,EG,78.8,clear sky,27.18,31.18,Florence Hotel Assiut
550,Bloomingdale,US,91.99,scattered clouds,27.89,-82.24,Travel Club for Free
551,Gunjur,GM,84.2,overcast clouds,13.2,-16.73,Kuba Lodge
552,Caranavi,BO,80.22,overcast clouds,-15.82,-67.55,Hotel Landivar
555,Grants,US,84.2,clear sky,35.15,-107.85,"Motel 6 Grants, NM"
565,Lamar,US,82.99,clear sky,33.67,-95.58,Kings Inn Paris TX
570,Ambajogai,IN,91.42,scattered clouds,18.73,76.38,Hotel Krushnai
572,Ixtapa,MX,81.0,overcast clouds,20.7,-105.2,Container Inn Puerto Vallarta
